# thresholds,fpr,tpr
5.135906483544309120e-01,4.688079061148857085e-01,4.868051656372824332e-01
4.868313166572065254e-01,4.688079061148857085e-01,4.873666479505895377e-01
4.548730142245135943e-01,4.706609017912291582e-01,4.873666479505895377e-01
4.279224284996433481e-01,4.706609017912291582e-01,4.879281302638966977e-01
3.322376458068976302e-01,4.718962322421247912e-01,4.879281302638966977e-01
3.306097936319049579e-01,4.718962322421247912e-01,4.884896125772038022e-01
3.214066555189102892e-01,4.725138974675725523e-01,4.884896125772038022e-01
2.800694302289155613e-01,4.725138974675725523e-01,4.896125772038180668e-01
1.814451094582060775e-01,4.756022235948116350e-01,4.896125772038180668e-01
1.720412579785185192e-01,4.756022235948116350e-01,4.901740595171252268e-01
1.678373965560277237e-01,4.768375540457072126e-01,4.901740595171252268e-01
1.574206302285370562e-01,4.768375540457072126e-01,4.918585064570465959e-01
1.341656314644189829e-01,4.786905497220506622e-01,4.918585064570465959e-01
1.285205562164445647e-01,4.786905497220506622e-01,4.924199887703537559e-01
1.112396088607557482e-01,4.805435453983940564e-01,4.924199887703537559e-01
9.052878481045399661e-02,4.805435453983940564e-01,4.946659180235822295e-01
8.627086759279085915e-02,4.811612106238418729e-01,4.946659180235822295e-01
5.745682927727206735e-02,4.811612106238418729e-01,4.957888826501964941e-01
5.187690677516514776e-02,4.817788758492896894e-01,4.957888826501964941e-01
2.215065462006403710e-02,4.817788758492896894e-01,4.974733295901179186e-01
2.159060200196463719e-02,4.830142063001853225e-01,4.974733295901179186e-01
8.505628326331575798e-03,4.830142063001853225e-01,5.019651880965749768e-01
8.317953199916929691e-03,4.836318715256330836e-01,5.019651880965749768e-01
7.646683327796579416e-03,4.836318715256330836e-01,5.030881527231891859e-01
7.487008943847702110e-03,4.842495367510809001e-01,5.030881527231891859e-01
3.871552586300360584e-03,4.842495367510809001e-01,5.058955642897248195e-01
3.602573490566907382e-03,4.848672019765287167e-01,5.058955642897248195e-01
3.253161854380719892e-03,4.848672019765287167e-01,5.064570466030320350e-01
2.464609630812365868e-03,4.879555281037677439e-01,5.064570466030320350e-01
1.717043937036542454e-03,4.879555281037677439e-01,5.081414935429533486e-01
7.941359021703391519e-04,4.898085237801111935e-01,5.081414935429533486e-01
7.173652658933432321e-04,4.898085237801111935e-01,5.087029758562605641e-01
6.662322786456130940e-04,4.904261890055590101e-01,5.087029758562605641e-01
4.738732682081352068e-04,4.904261890055590101e-01,5.120718697361033023e-01
4.655257409803516743e-04,4.910438542310067711e-01,5.120718697361033023e-01
1.601793588890408669e-04,4.910438542310067711e-01,5.137563166760247269e-01
9.027507951504295917e-05,4.941321803582458538e-01,5.137563166760247269e-01
7.277546858783649525e-05,4.941321803582458538e-01,5.143177989893318314e-01
3.117106671645648001e-05,4.984558369363804586e-01,5.143177989893318314e-01
3.005444613214401151e-05,4.984558369363804586e-01,5.148792813026389359e-01
2.927175852382083278e-05,4.990735021618282752e-01,5.148792813026389359e-01
2.901233705632042811e-05,4.990735021618282752e-01,5.154407636159461514e-01
1.802171508915385143e-05,5.003088326127238528e-01,5.154407636159461514e-01
1.414284821030223205e-05,5.003088326127238528e-01,5.160022459292532560e-01
7.563769897842882350e-06,5.015441630636194859e-01,5.160022459292532560e-01
7.495205994719480982e-06,5.015441630636194859e-01,5.165637282425603605e-01
6.987360804154198027e-06,5.021618282890673024e-01,5.165637282425603605e-01
5.932687216567131936e-06,5.021618282890673024e-01,5.171252105558674650e-01
5.913354306256923778e-06,5.027794935145151189e-01,5.171252105558674650e-01
4.061114968134592737e-06,5.027794935145151189e-01,5.176866928691745695e-01
3.756284509794031516e-06,5.033971587399629355e-01,5.176866928691745695e-01
3.129537619459919881e-06,5.033971587399629355e-01,5.182481751824817851e-01
2.745506796833796678e-06,5.040148239654107520e-01,5.182481751824817851e-01
2.011061542349217435e-06,5.040148239654107520e-01,5.188096574957888896e-01
1.261394174850606733e-06,5.058678196417542017e-01,5.188096574957888896e-01
1.219373388091494541e-06,5.058678196417542017e-01,5.193711398090959941e-01
6.801050352923029262e-07,5.089561457689931734e-01,5.193711398090959941e-01
4.786537298627356035e-07,5.089561457689931734e-01,5.210555867490174187e-01
2.923699545342326353e-07,5.108091414453366230e-01,5.210555867490174187e-01
2.449915398761169316e-07,5.108091414453366230e-01,5.221785513756316277e-01
2.284794664536344112e-07,5.114268066707844396e-01,5.221785513756316277e-01
1.992917458891755200e-07,5.114268066707844396e-01,5.233015160022459478e-01
1.797289285939214083e-07,5.126621371216800727e-01,5.233015160022459478e-01
1.787862475344534041e-07,5.126621371216800727e-01,5.238629983155530523e-01
1.502627123547158398e-07,5.151327980234712278e-01,5.238629983155530523e-01
1.123337585828064730e-07,5.151327980234712278e-01,5.255474452554744769e-01
1.028039445041299961e-07,5.157504632489190444e-01,5.255474452554744769e-01
6.726068084020649678e-08,5.157504632489190444e-01,5.266704098820886859e-01
6.220293853641172935e-08,5.169857936998146775e-01,5.266704098820886859e-01
5.949561261074510042e-08,5.169857936998146775e-01,5.272318921953957904e-01
5.548383175575740291e-08,5.182211241507103106e-01,5.272318921953957904e-01
3.988696581283960742e-08,5.182211241507103106e-01,5.277933745087030060e-01
3.766907338136366539e-08,5.188387893761581271e-01,5.277933745087030060e-01
3.412077433804474038e-08,5.188387893761581271e-01,5.283548568220101105e-01
3.153792688107110899e-08,5.200741198270537602e-01,5.283548568220101105e-01
2.775159067671587443e-08,5.200741198270537602e-01,5.289163391353172150e-01
2.648528894898035155e-08,5.206917850525015767e-01,5.289163391353172150e-01
2.171733981096871036e-08,5.206917850525015767e-01,5.300393037619315351e-01
1.309271736415419872e-08,5.219271155033972098e-01,5.300393037619315351e-01
1.130769337674375350e-08,5.219271155033972098e-01,5.306007860752386396e-01
9.946471427573392305e-09,5.231624459542927319e-01,5.306007860752386396e-01
9.723070218414115429e-09,5.231624459542927319e-01,5.317237507018528486e-01
7.731544193108690132e-09,5.250154416306361815e-01,5.317237507018528486e-01
5.843720770754278783e-09,5.250154416306361815e-01,5.356541268950028023e-01
4.261674303938145637e-09,5.274861025324274477e-01,5.356541268950028023e-01
3.099477875109236518e-09,5.274861025324274477e-01,5.367770915216171224e-01
2.467828242440749596e-09,5.287214329833230808e-01,5.367770915216171224e-01
2.110712463186204844e-09,5.287214329833230808e-01,5.373385738349242269e-01
1.912935626590294085e-09,5.299567634342186029e-01,5.373385738349242269e-01
1.790512326845180181e-09,5.299567634342186029e-01,5.384615384615384359e-01
1.370311652673463979e-09,5.311920938851142360e-01,5.384615384615384359e-01
1.300644400668729539e-09,5.311920938851142360e-01,5.390230207748455404e-01
1.043671372679480655e-09,5.330450895614576856e-01,5.390230207748455404e-01
9.520076223232025627e-10,5.330450895614576856e-01,5.395845030881527560e-01
7.478261001202267616e-10,5.336627547869055022e-01,5.395845030881527560e-01
6.124747266339033034e-10,5.336627547869055022e-01,5.407074677147669650e-01
3.477042631721850737e-10,5.367510809141445849e-01,5.407074677147669650e-01
2.944682514922823992e-10,5.367510809141445849e-01,5.412689500280740695e-01
2.492172274435429575e-10,5.379864113650401070e-01,5.412689500280740695e-01
1.665310510457331729e-10,5.379864113650401070e-01,5.435148792813025986e-01
1.122427654451778700e-10,5.410747374922791897e-01,5.435148792813025986e-01
7.976258555911044364e-11,5.410747374922791897e-01,5.440763615946098142e-01
6.700949417593371833e-11,5.429277331686226393e-01,5.440763615946098142e-01
5.428164629831309694e-11,5.429277331686226393e-01,5.457608085345311277e-01
4.980782966267273619e-11,5.435453983940704559e-01,5.457608085345311277e-01
2.950023138164000838e-11,5.435453983940704559e-01,5.496911847276810814e-01
2.944658133162176405e-11,5.441630636195182724e-01,5.496911847276810814e-01
2.867790595963438849e-11,5.441630636195182724e-01,5.502526670409881859e-01
1.138382205194301639e-11,5.484867201976528772e-01,5.502526670409881859e-01
1.108580031908555408e-11,5.484867201976528772e-01,5.508141493542952905e-01
1.020383964769145126e-11,5.491043854231006938e-01,5.508141493542952905e-01
9.443589027245519092e-12,5.491043854231006938e-01,5.513756316676025060e-01
9.060383153295097005e-12,5.497220506485485103e-01,5.513756316676025060e-01
5.890186255703312806e-12,5.497220506485485103e-01,5.519371139809096105e-01
4.760249817173555042e-12,5.515750463248919599e-01,5.519371139809096105e-01
4.137859133553661255e-12,5.515750463248919599e-01,5.536215609208310351e-01
3.725520110239344999e-12,5.521927115503396655e-01,5.536215609208310351e-01
3.130890245486425519e-12,5.521927115503396655e-01,5.541830432341381396e-01
3.088915691860516187e-12,5.528103767757874820e-01,5.541830432341381396e-01
2.753638735574689915e-12,5.528103767757874820e-01,5.553060078607523486e-01
2.498917817426030960e-12,5.546633724521309317e-01,5.553060078607523486e-01
1.980080971513292291e-12,5.546633724521309317e-01,5.564289724873666687e-01
1.784613225022076847e-12,5.552810376775787482e-01,5.564289724873666687e-01
8.160117471189911915e-13,5.552810376775787482e-01,5.581134194272880933e-01
4.316399043123482093e-13,5.571340333539221978e-01,5.581134194272880933e-01
4.151591956509791462e-13,5.571340333539221978e-01,5.586749017405951978e-01
3.452775990676132084e-13,5.577516985793700144e-01,5.586749017405951978e-01
2.299270114335352342e-13,5.577516985793700144e-01,5.603593486805165114e-01
2.067851097390207098e-13,5.583693638048178309e-01,5.603593486805165114e-01
1.928198465932361944e-13,5.583693638048178309e-01,5.614823133071308314e-01
1.600373780783588766e-13,5.589870290302656475e-01,5.614823133071308314e-01
1.151464282027998122e-13,5.589870290302656475e-01,5.626052779337450405e-01
1.083636926791133734e-13,5.596046942557133530e-01,5.626052779337450405e-01
9.857757966321538916e-14,5.596046942557133530e-01,5.631667602470522560e-01
7.376724804139231515e-14,5.626930203829524357e-01,5.631667602470522560e-01
5.762326078687866016e-14,5.626930203829524357e-01,5.642897248736664650e-01
4.843187179049647820e-14,5.633106856084002523e-01,5.642897248736664650e-01
4.364442837060363655e-14,5.633106856084002523e-01,5.648512071869735696e-01
2.312946117846765419e-14,5.663990117356393350e-01,5.648512071869735696e-01
2.103804904704687763e-14,5.663990117356393350e-01,5.659741718135878896e-01
1.213604938415269216e-14,5.694873378628783067e-01,5.659741718135878896e-01
9.213893417535296098e-15,5.694873378628783067e-01,5.676586187535093142e-01
8.063448773375422149e-15,5.713403335392217564e-01,5.676586187535093142e-01
8.036481416036020222e-15,5.713403335392217564e-01,5.682201010668164187e-01
7.321293228542768511e-15,5.719579987646695729e-01,5.682201010668164187e-01
5.957599458115717881e-15,5.719579987646695729e-01,5.693430656934306278e-01
5.107545951496345952e-15,5.725756639901173894e-01,5.693430656934306278e-01
4.881864939549374951e-15,5.725756639901173894e-01,5.699045480067377323e-01
4.453038222208631268e-15,5.731933292155652060e-01,5.699045480067377323e-01
3.555773780051991360e-15,5.731933292155652060e-01,5.710275126333520523e-01
2.456469302744939719e-15,5.756639901173563612e-01,5.710275126333520523e-01
1.808380678297077176e-15,5.756639901173563612e-01,5.715889949466591569e-01
1.550445516185148335e-15,5.781346510191476273e-01,5.715889949466591569e-01
1.239166106608025201e-15,5.781346510191476273e-01,5.721504772599662614e-01
1.209174423788488993e-15,5.793699814700432604e-01,5.721504772599662614e-01
7.905926565964416860e-16,5.793699814700432604e-01,5.738349241998876860e-01
7.581240524805920900e-16,5.799876466954910770e-01,5.738349241998876860e-01
6.484230906484450732e-16,5.799876466954910770e-01,5.743964065131947905e-01
5.157016881969617356e-16,5.812229771463867101e-01,5.743964065131947905e-01
3.635062508506993161e-16,5.812229771463867101e-01,5.755193711398091105e-01
2.615512083482718044e-16,5.824583075972822321e-01,5.755193711398091105e-01
2.380309536051686584e-16,5.824583075972822321e-01,5.760808534531162151e-01
2.196462746412287816e-16,5.836936380481778652e-01,5.760808534531162151e-01
1.070301318819293410e-16,5.836936380481778652e-01,5.777653003930376396e-01
1.043646310854330648e-16,5.843113032736256818e-01,5.777653003930376396e-01
1.029546329319555977e-16,5.843113032736256818e-01,5.783267827063447442e-01
7.795002939309269413e-17,5.849289684990734983e-01,5.783267827063447442e-01
4.186452621650362479e-17,5.849289684990734983e-01,5.805727119595732733e-01
3.888407568838901892e-17,5.855466337245213149e-01,5.805727119595732733e-01
2.677459333967295900e-17,5.855466337245213149e-01,5.816956765861874823e-01
1.459490070185729351e-17,5.880172946263125811e-01,5.816956765861874823e-01
1.301528490937734478e-17,5.880172946263125811e-01,5.822571588994946978e-01
1.296657888128537418e-17,5.886349598517603976e-01,5.822571588994946978e-01
1.216779586736640754e-17,5.886349598517603976e-01,5.828186412128018024e-01
1.001102397104081213e-17,5.898702903026559197e-01,5.828186412128018024e-01
9.292831716816921805e-18,5.898702903026559197e-01,5.833801235261089069e-01
8.318025903718140981e-18,5.911056207535515528e-01,5.833801235261089069e-01
6.675957258061803525e-18,5.911056207535515528e-01,5.839416058394160114e-01
3.532754916786143637e-18,5.923409512044471859e-01,5.839416058394160114e-01
2.889166374617497650e-18,5.923409512044471859e-01,5.850645704660303315e-01
2.280232171772845665e-18,5.941939468807906355e-01,5.850645704660303315e-01
2.027238663797595749e-18,5.941939468807906355e-01,5.856260527793374360e-01
1.704449930717418562e-18,5.966646077825817907e-01,5.856260527793374360e-01
1.468154162776461883e-18,5.966646077825817907e-01,5.867490174059517560e-01
1.389079481773841582e-18,5.972822730080296072e-01,5.867490174059517560e-01
1.373921253170457103e-18,5.972822730080296072e-01,5.873104997192588606e-01
8.834400839092403131e-19,5.991352686843730568e-01,5.873104997192588606e-01
5.941878858073319355e-19,5.991352686843730568e-01,5.878719820325659651e-01
4.538069373093289174e-19,6.009882643607165065e-01,5.878719820325659651e-01
3.190924294778704952e-19,6.009882643607165065e-01,5.884334643458730696e-01
2.030530234211904835e-19,6.022235948116121396e-01,5.884334643458730696e-01
1.826148787098156980e-19,6.022235948116121396e-01,5.889949466591802851e-01
1.554826198345482242e-19,6.034589252625077727e-01,5.889949466591802851e-01
1.438706521989144424e-19,6.034589252625077727e-01,5.901179112857944942e-01
5.960400337437268590e-20,6.071649166151945609e-01,5.901179112857944942e-01
5.871177340288143806e-20,6.071649166151945609e-01,5.906793935991015987e-01
2.593783387503719442e-20,6.096355775169858271e-01,5.906793935991015987e-01
2.460850660482108832e-20,6.096355775169858271e-01,5.929253228523301278e-01
1.806019273782444527e-20,6.108709079678814602e-01,5.929253228523301278e-01
1.375195333195855354e-20,6.108709079678814602e-01,5.934868051656372323e-01
9.588236991463882456e-21,6.121062384187769823e-01,5.934868051656372323e-01
9.135694497277679123e-21,6.121062384187769823e-01,5.940482874789444478e-01
8.146258365793447274e-21,6.127239036442247988e-01,5.940482874789444478e-01
8.109743726208487976e-21,6.127239036442247988e-01,5.946097697922515524e-01
4.969838022829775903e-21,6.145768993205682484e-01,5.946097697922515524e-01
3.252189088998950223e-21,6.145768993205682484e-01,5.962942167321729769e-01
2.113295937573585692e-21,6.164298949969116981e-01,5.962942167321729769e-01
1.830185622688243377e-21,6.164298949969116981e-01,5.968556990454800815e-01
1.277272883265222675e-21,6.189005558987028532e-01,5.968556990454800815e-01
1.093886629604605394e-21,6.189005558987028532e-01,5.974171813587871860e-01
7.035152733708810204e-22,6.207535515750463029e-01,5.974171813587871860e-01
5.530969558481092592e-22,6.207535515750463029e-01,5.991016282987086106e-01
5.276288157438517668e-22,6.219888820259419360e-01,5.991016282987086106e-01
5.262320183938144757e-22,6.219888820259419360e-01,5.996631106120157151e-01
4.384055302611503195e-22,6.232242124768375691e-01,5.996631106120157151e-01
4.303732014399863117e-22,6.232242124768375691e-01,6.002245929253228196e-01
3.469035100782202933e-22,6.244595429277332022e-01,6.002245929253228196e-01
3.465571631675507589e-22,6.244595429277332022e-01,6.007860752386300351e-01
2.800341583558724300e-22,6.263125386040765408e-01,6.007860752386300351e-01
2.709441526282536439e-22,6.263125386040765408e-01,6.013475575519371397e-01
2.145165093812404709e-22,6.275478690549721739e-01,6.013475575519371397e-01
1.488439422002147962e-22,6.275478690549721739e-01,6.019090398652442442e-01
1.426290737188432268e-22,6.287831995058678070e-01,6.019090398652442442e-01
1.321867623771353646e-22,6.287831995058678070e-01,6.024705221785513487e-01
7.953708488329432639e-23,6.300185299567634400e-01,6.024705221785513487e-01
4.864495496980218456e-23,6.300185299567634400e-01,6.030320044918584532e-01
2.907404239160473004e-23,6.324891908585547062e-01,6.030320044918584532e-01
2.545801985824956415e-23,6.324891908585547062e-01,6.041549691184727733e-01
2.323883960536975566e-23,6.337245213094502283e-01,6.041549691184727733e-01
1.713541984278000694e-23,6.337245213094502283e-01,6.058394160583941979e-01
1.337794014040316260e-23,6.343421865348980448e-01,6.058394160583941979e-01
1.282558133508898851e-23,6.343421865348980448e-01,6.064008983717013024e-01
1.203774061365152891e-23,6.355775169857936779e-01,6.064008983717013024e-01
1.120530801164664483e-23,6.355775169857936779e-01,6.069623806850084069e-01
8.759135616268155677e-24,6.374305126621371276e-01,6.069623806850084069e-01
5.688970157418346987e-24,6.374305126621371276e-01,6.075238629983155114e-01
3.342602627471008657e-24,6.380481778875849441e-01,6.075238629983155114e-01
2.717041038805511525e-24,6.380481778875849441e-01,6.092083099382369360e-01
2.208582022140460009e-24,6.392835083384805772e-01,6.092083099382369360e-01
1.444801993718852697e-24,6.392835083384805772e-01,6.108927568781583606e-01
6.775049329130724169e-25,6.423718344657195489e-01,6.108927568781583606e-01
6.215007039613787514e-25,6.423718344657195489e-01,6.114542391914654651e-01
5.286146333708134373e-25,6.429894996911673655e-01,6.114542391914654651e-01
4.841845090336184206e-25,6.429894996911673655e-01,6.120157215047725696e-01
